mode,real,imaginary,frequency_hz,damping
1,2831.748260793156,0.0,0.0,-1.0
2,20.45518006827814,3351.47809326172,533.404305206803,-0.006103217304532049
3,20.45518006827814,-3351.47809326172,533.404305206803,-0.006103217304532049
4,1e-10,0.0,0.0,-1.0
5,1e-10,0.0,0.0,-1.0
6,1e-10,0.0,0.0,-1.0
7,1e-10,0.0,0.0,-1.0
8,-0.23116867742678746,0.0,0.0,1.0
9,-0.8001452677735726,0.0,0.0,1.0
10,-0.8003585407878666,0.0,0.0,1.0
11,-0.9209031157645424,0.8218237727623461,0.13079731578555792,0.7461031296065542
12,-0.9209031157645424,-0.8218237727623461,0.13079731578555792,0.7461031296065542
13,-1.439991151966302,0.0,0.0,1.0
14,-1.4902372389503116,1.1153346005361546,0.17751101487675353,0.8006038721868461
15,-1.4902372389503116,-1.1153346005361546,0.17751101487675353,0.8006038721868461
16,-3.3333333332333335,0.0,0.0,1.0
17,-3.7906800728347463,0.0,0.0,1.0
18,-6.224199748277872,21.21692913828437,3.376779149588425,0.28149718786934047
19,-6.224199748277872,-21.21692913828437,3.376779149588425,0.28149718786934047
20,-7.666739807928085,0.0,0.0,1.0
21,-9.999999999899998,0.0,0.0,1.0
22,-9.999999999899998,0.0,0.0,1.0
23,-10.459910034620215,0.0,0.0,1.0
24,-10.472053397558874,0.0,0.0,1.0
25,-10.479255328966694,0.0,0.0,1.0
26,-22.24159160882388,0.0,0.0,1.0
27,-23.36978418431167,348.98680692215544,55.542975395517914,0.06681502316064765
28,-23.36978418431167,-348.98680692215544,55.542975395517914,0.06681502316064765
29,-30.488118047421672,0.0,0.0,1.0
30,-40.21395081847558,0.0,0.0,1.0
31,-66.76592049558894,0.0,0.0,1.0
32,-67.96404887962701,509.4976351577975,81.08906712899451,0.13222303542427577
33,-67.96404887962701,-509.4976351577975,81.08906712899451,0.13222303542427577
34,-100.82673021023979,0.0,0.0,1.0
35,-213.43108787886436,2105.469489624073,335.0958768028413,0.1008529814152892
36,-213.43108787886436,-2105.469489624073,335.0958768028413,0.1008529814152892
37,-428.86568926688926,4470.260137158167,711.4639977353763,0.09549904364401808
38,-428.86568926688926,-4470.260137158167,711.4639977353763,0.09549904364401808
39,-446.0321395165785,5000.9759982346395,795.9300504029685,0.08883638556642476
40,-446.0321395165785,-5000.9759982346395,795.9300504029685,0.08883638556642476
41,-2719.2455755634637,0.0,0.0,1.0
42,-10066.125177768583,2.1512894535080886,0.34238835054727446,0.9999999771627907
43,-10066.125177768583,-2.1512894535080886,0.34238835054727446,0.9999999771627907
44,-29710.650075871654,0.0,0.0,1.0
45,-70048.64209493206,0.0,0.0,1.0
46,-99103.83723869812,313.8508152406624,49.950908638972585,0.9999949854459247
47,-99103.83723869812,-313.8508152406624,49.950908638972585,0.9999949854459247
48,-99999.99999999788,0.0,0.0,1.0
49,-99999.99999999975,0.0,0.0,1.0
50,-99999.99999999988,0.0,0.0,1.0
51,-99999.99999999988,0.0,0.0,1.0
52,-99999.99999999988,0.0,0.0,1.0
53,-99999.99999999988,0.0,0.0,1.0
54,-99999.99999999988,0.0,0.0,1.0
55,-99999.99999999996,0.0,0.0,1.0
56,-100000.00005677967,0.0,0.0,1.0
57,-1316398.5119283367,0.0,0.0,1.0
58,-1322777.5764147937,0.0,0.0,1.0
