real,imag
-6.172840016916251643e-12,0.000000000000000000e+00
-2.128533755359912760e+01,3.595687842088302943e+01
-2.128533755359912760e+01,-3.595687842088302943e+01
-2.127687659860990621e+01,9.428009902885222004e+01
-2.127687659860990621e+01,-9.428009902885222004e+01
-3.251690907896608707e+01,8.428866537598135267e+01
-3.251690907896608707e+01,-8.428866537598135267e+01
-2.771245845329540813e+01,1.336616564804324696e+02
-2.771245845329540813e+01,-1.336616564804324696e+02
-2.168782632767723229e+01,1.554996906488685227e+02
-2.168782632767723229e+01,-1.554996906488685227e+02
-5.461062603714390207e+01,0.000000000000000000e+00
-1.046674060867507876e+02,0.000000000000000000e+00
-1.099007790695382738e+02,0.000000000000000000e+00
-1.256009009257869025e+02,0.000000000000000000e+00
-1.336708816657189573e+03,1.570796326794896629e+02
-1.348190575578886637e+03,0.000000000000000000e+00
-1.409069294136451390e+03,9.463671006711378197e+01
-1.409069294136451390e+03,-9.463671006711378197e+01
-1.501345160452130813e+03,0.000000000000000000e+00
-1.505415850662181811e+03,5.017642724179257385e+01
-1.505415850662181811e+03,-5.017642724179257385e+01
-1.533292928168816388e+03,7.070791900079171910e+01
-1.533292928168816388e+03,-7.070791900079171910e+01
-1.546325461604173825e+03,1.570796326794896629e+02
-1.541903141650193447e+03,0.000000000000000000e+00
-1.560317146330283549e+03,9.276820999832371228e+01
-1.560317146330283549e+03,-9.276820999832371228e+01
-1.575870336495279844e+03,6.301622616507855668e+01
-1.575870336495279844e+03,-6.301622616507855668e+01
-1.600676550193305275e+03,0.000000000000000000e+00
-1.700654068234051465e+03,1.133650057601742560e+02
-1.700654068234051465e+03,-1.133650057601742560e+02
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
