load,bus,expected_abs_I_pu,per_phase_PQ_abs_I_pu,total_PQ_abs_I_pu,divide_PQ_by_3_again_abs_I_pu,per_phase_ratio,total_power_ratio
Load1,Bus2,1.347303673986722,0.44910122466224056,1.347303673986722,0.14970040822074684,0.33333333333333326,0.9999999999999999
Load2,Bus3,0.9355145771769005,0.31183819239230015,0.9355145771769005,0.10394606413076672,0.33333333333333337,1.0
Load3,Bus5,1.042830976754086,0.34761032558469535,1.042830976754086,0.11587010852823178,0.33333333333333337,1.0
