real,imag
-2.168782632767568685e+01,1.554996906491464870e+02
-2.168782632767568685e+01,-1.554996906491464870e+02
-2.771245845390121687e+01,1.336616564816245898e+02
-2.771245845390121687e+01,-1.336616564816245898e+02
-2.127687659929357267e+01,9.428009902907092510e+01
-2.127687659929357267e+01,-9.428009902907092510e+01
-2.633457273642380514e+01,7.016983701870121592e+01
-2.633457273642380514e+01,-7.016983701870121592e+01
-3.251690907944337283e+01,8.428866537603755660e+01
-3.251690907944337283e+01,-8.428866537603755660e+01
-2.373069233203857209e+01,4.096974907001641242e+01
-2.373069233203857209e+01,-4.096974907001641242e+01
-2.128533755370256131e+01,3.595687842076954155e+01
-2.128533755370256131e+01,-3.595687842076954155e+01
-6.237294018592542955e+00,2.199147273112472334e+01
-6.237294018592542955e+00,-2.199147273112472334e+01
-5.746791453986925546e+01,6.975779380326915202e+01
-5.746791453986925546e+01,-6.975779380326915202e+01
-1.037956996325736441e+02,1.342835521320553482e+02
-1.037956996325736441e+02,-1.342835521320553482e+02
-2.109971104531852149e+01,0.000000000000000000e+00
-3.153476342597582516e+01,0.000000000000000000e+00
-4.006806176211006232e+01,0.000000000000000000e+00
-1.324591617371779861e+01,1.925334586468151254e+00
-1.324591617371779861e+01,-1.925334586468151254e+00
-5.461062603712493058e+01,0.000000000000000000e+00
-5.466728407106244703e+01,1.736534227080179654e-02
-5.466728407106244703e+01,-1.736534227080179654e-02
-6.672931109857471199e+01,0.000000000000000000e+00
-2.829214333716295826e+00,9.706170330248099498e-01
-2.829214333716295826e+00,-9.706170330248099498e-01
-1.994123635852586673e+00,1.736904089481029478e+00
-1.994123635852586673e+00,-1.736904089481029478e+00
-3.331666640115898304e+00,0.000000000000000000e+00
-2.412322084597510408e+00,0.000000000000000000e+00
-1.031963923349227708e+00,8.104872459099352611e-01
-1.031963923349227708e+00,-8.104872459099352611e-01
-9.941807348274963374e+00,0.000000000000000000e+00
-1.976570742629625843e-01,0.000000000000000000e+00
-1.623541886840629944e+00,0.000000000000000000e+00
-1.045887529955177531e+00,1.900250751549175526e-02
-1.045887529955177531e+00,-1.900250751549175526e-02
-1.188028944177543789e+00,2.749778044782524400e-04
-1.188028944177543789e+00,-2.749778044782524400e-04
-1.007566172193880618e+02,0.000000000000000000e+00
-1.311421081465383622e+02,3.814875852431259773e+01
-1.311421081465383622e+02,-3.814875852431259773e+01
-1.349397701744934750e+02,3.996459526803356965e+01
-1.349397701744934750e+02,-3.996459526803356965e+01
-7.998464229708962536e-01,0.000000000000000000e+00
-1.045448852075909940e+01,0.000000000000000000e+00
-1.046789963545133340e+01,1.762493396955897799e-03
-1.046789963545133340e+01,-1.762493396955897799e-03
-1.551589735504957162e+02,9.753532781926853090e+01
-1.551589735504957162e+02,-9.753532781926853090e+01
-7.999645155749854908e-01,0.000000000000000000e+00
-5.750955267558641267e-12,0.000000000000000000e+00
-1.046666962402661838e+01,0.000000000000000000e+00
-1.046672627625120278e+01,0.000000000000000000e+00
-1.046674060867616873e+02,0.000000000000000000e+00
-1.099007790695393254e+02,0.000000000000000000e+00
-1.256009009257871014e+02,0.000000000000000000e+00
-2.442232071964441786e+02,2.112362333444439244e+01
-2.442232071964441786e+02,-2.112362333444439244e+01
-3.159281702862083421e+02,8.092927806540197722e+00
-3.159281702862083421e+02,-8.092927806540197722e+00
-3.392187211118860546e+02,1.488700839407045464e+02
-3.392187211118860546e+02,-1.488700839407045464e+02
-3.371026463377733080e+02,2.502874312733307960e+01
-3.371026463377733080e+02,-2.502874312733307960e+01
-3.869179708687590846e+02,1.117870378165616607e+01
-3.869179708687590846e+02,-1.117870378165616607e+01
-4.587748094988473326e+02,8.160000971568854311e+01
-4.587748094988473326e+02,-8.160000971568854311e+01
-4.600510073082193685e+02,5.543178224786746711e+01
-4.600510073082193685e+02,-5.543178224786746711e+01
-5.058694780277688778e+02,1.236388109952429204e+02
-5.058694780277688778e+02,-1.236388109952429204e+02
-5.238600010841394123e+02,5.070289407025030215e+01
-5.238600010841394123e+02,-5.070289407025030215e+01
-5.244922376866212517e+02,1.346048045721016422e+02
-5.244922376866212517e+02,-1.346048045721016422e+02
-5.640129200267911074e+02,7.791501701768625310e+01
-5.640129200267911074e+02,-7.791501701768625310e+01
-1.022656594890507677e+03,0.000000000000000000e+00
-1.345355718075076993e+03,1.570796326794896629e+02
-1.361539381069181218e+03,4.937009428845327363e+01
-1.361539381069181218e+03,-4.937009428845327363e+01
-1.407876831956388514e+03,0.000000000000000000e+00
-1.505969481198025278e+03,0.000000000000000000e+00
-1.548899231448330056e+03,1.570796326794896629e+02
-1.633909215059106373e+03,1.570796326794896629e+02
-1.625310541422643610e+03,1.570796326794896629e+02
-1.663866330176848578e+03,0.000000000000000000e+00
-1.701719644262799193e+03,3.398472329296780714e+01
-1.701719644262799193e+03,-3.398472329296780714e+01
-1.706192919673341976e+03,6.834972799333421278e+01
-1.706192919673341976e+03,-6.834972799333421278e+01
-1.710961072704657909e+03,0.000000000000000000e+00
-1.709957372036731385e+03,1.514327597207646079e+02
-1.709957372036731385e+03,-1.514327597207646079e+02
-1.718651329298845894e+03,1.084910697800741701e+02
-1.718651329298845894e+03,-1.084910697800741701e+02
-1.734517986243925861e+03,5.773357963611081800e+01
-1.734517986243925861e+03,-5.773357963611081800e+01
-1.731567378224316599e+03,0.000000000000000000e+00
-1.765036328969116312e+03,1.407772986723934991e+02
-1.765036328969116312e+03,-1.407772986723934991e+02
-1.797915896093512401e+03,6.375466548985338022e+01
-1.797915896093512401e+03,-6.375466548985338022e+01
-1.794680543011370673e+03,0.000000000000000000e+00
-1.820107598564543878e+03,0.000000000000000000e+00
-1.958271108099260346e+03,0.000000000000000000e+00
-1.978481636321917449e+03,1.256881087610344281e+02
-1.978481636321917449e+03,-1.256881087610344281e+02
-2.052948352923319362e+03,8.205295370185365300e+01
-2.052948352923319362e+03,-8.205295370185365300e+01
-1.981792852582825390e+03,0.000000000000000000e+00
-2.098719469415648291e+03,1.570796326794896629e+02
-2.053060920736258140e+03,1.570796326794896629e+02
-1.985633657289392659e+03,1.570796326794896629e+02
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
