Mode,Real,Imaginary,Frequency,damping,damp<0.05?
1,-0.197765415744973,0,0,1,
2,-0.800246515546164,0,0,1,
3,-0.800364689945292,0,0,1,
4,-1.03242132477207,0.810872580146713,0.129054379348028,0.786435115763449,
5,-1.03242132477207,-0.810872580146713,0.129054379348028,0.786435115763449,
6,-1.04658356553571,314.142184000588,49.9972814173772,0.00333154160987639,<!>
7,-1.04658356553571,-314.142184000588,49.9972814173772,0.00333154160987639,<!>
8,-1.1885715725865,314.159649603372,50.0000611543944,0.00378330911620858,<!>
9,-1.1885715725865,-314.159649603372,50.0000611543944,0.00378330911620858,<!>
10,-1.62428576820382,0,0,1,
11,-1.99515649342989,1.73752428384708,0.276535578516468,0.754117660673204,
12,-1.99515649342989,-1.73752428384708,0.276535578516468,0.754117660673204,
13,-2.41406940177497,0,0,1,
14,-2.83203470241153,313.1931716379,49.8462414088001,0.00904208387646118,<!>
15,-2.83203470241153,-313.1931716379,49.8462414088001,0.00904208387646118,<!>
16,-3.33333333301323,0,0,1,
17,-6.24036277765272,22.0063206929386,3.50241471754665,0.272814565888625,
18,-6.24036277765272,-22.0063206929386,3.50241471754665,0.272814565888625,
19,-9.94679861117219,0,0,1,
20,-10.4597186872478,0,0,1,
21,-10.4719058239707,0,0,1,
22,-10.4719624919697,0,0,1,
23,-10.4731366956841,0.0017627942552359,0.000280557419374789,0.999999985834898,
24,-10.4731366956841,-0.0017627942552359,0.000280557419374789,0.999999985834898,
25,-13.2522630182751,1.92658940832533,0.306626227643466,0.989597205924043,
26,-13.2522630182751,-1.92658940832533,0.306626227643466,0.989597205924043,
27,-21.1113958887628,0,0,1,
28,-23.7386486621241,273.260029958742,43.4906845173733,0.0865460554725307,
29,-23.7386486621241,-273.260029958742,43.4906845173733,0.0865460554725307,
30,-26.3979071468244,3214.74975638768,511.643314532566,0.00821121990953704,<!>
31,-26.3979071468244,-3214.74975638768,511.643314532566,0.00821121990953704,<!>
32,-31.55112371888,0,0,1,
33,-40.0881081326546,0,0,1,
34,-54.6946324001207,314.141891401206,49.9972348487393,0.171527648764188,
35,-54.6946324001207,-314.141891401206,49.9972348487393,0.171527648764188,
36,-57.4922414809853,3843.17194103989,611.659811568573,0.0149579072638697,<!>
37,-57.4922414809853,-3843.17194103989,611.659811568573,0.0149579072638697,<!>
38,-66.7626886439326,0,0,1,
39,-100.8069603518,0,0,1,
40,-103.829634044277,808.753140706172,128.717060084482,0.127337257046071,
41,-103.829634044277,-808.753140706172,128.717060084482,0.127337257046071,
42,-131.492347666384,4680.73617424449,744.962299440058,0.0280811582427015,<!>
43,-131.492347666384,-4680.73617424449,744.962299440058,0.0280811582427015,<!>
44,-135.243710013601,5307.52102354242,844.718206460932,0.0254732526499395,<!>
45,-135.243710013601,-5307.52102354242,844.718206460932,0.0254732526499395,<!>
46,-155.280311983199,1159.60707398636,184.557197869258,0.13272303701416,
47,-155.280311983199,-1159.60707398636,184.557197869258,0.13272303701416,
48,-244.350599204497,21.128927579643,3.36277326653085,0.996282328736763,
49,-244.350599204497,-21.128927579643,3.36277326653085,0.996282328736763,
50,-316.121288758337,1563.70372499681,248.871177364452,0.198153225883826,
51,-316.121288758337,-1563.70372499681,248.871177364452,0.198153225883826,
52,-338.203400205629,5373.25665740169,855.180357526914,0.0628176684593151,
53,-338.203400205629,-5373.25665740169,855.180357526914,0.0628176684593151,
54,-340.117170205768,4884.14146893584,777.33525754125,0.0694688086908874,
55,-340.117170205768,-4884.14146893584,777.33525754125,0.0694688086908874,
56,-387.273345003322,2211.48844654955,351.969317858977,0.172493934019112,
57,-387.273345003322,-2211.48844654955,351.969317858977,0.172493934019112,
58,-459.207532520521,1967.99920493817,313.21680146683,0.227233237583536,
59,-459.207532520521,-1967.99920493817,313.21680146683,0.227233237583536,
60,-460.516469812648,2570.22264763755,409.063639218256,0.1763651818164,
61,-460.516469812648,-2570.22264763755,409.063639218256,0.1763651818164,
62,-507.020912637199,3964.94659640893,631.040849913867,0.126842971539183,
63,-507.020912637199,-3964.94659640893,631.040849913867,0.126842971539183,
64,-524.509729743222,2251.63248364324,358.358439798103,0.226872234051437,
65,-524.509729743222,-2251.63248364324,358.358439798103,0.226872234051437,
66,-525.632811546345,4537.54389339325,722.17254012998,0.115071317739631,
67,-525.632811546345,-4537.54389339325,722.17254012998,0.115071317739631,
68,-564.630784361382,2907.22021116732,462.698467263943,0.190654254718268,
69,-564.630784361382,-2907.22021116732,462.698467263943,0.190654254718268,
70,-1023.13491226893,0,0,1,
71,-1590.82066374536,0,0,1,
72,-10061.5785745588,3.17706761299109,0.505646015144701,0.999999950147075,
73,-10061.5785745588,-3.17706761299109,0.505646015144701,0.999999950147075,
74,-29917.0798051481,0,0,1,
75,-69958.9705909083,0,0,1,
76,-98959.8730245187,317.549213846657,50.5395270586408,0.999994851621411,
77,-98959.8730245187,-317.549213846657,50.5395270586408,0.999994851621411,
78,-99103.8374106652,313.852971296014,49.9512517858393,0.999994985377045,
79,-99103.8374106652,-313.852971296014,49.9512517858393,0.999994985377045,
80,-99999.999999997,0,0,1,
81,-99999.9999999999,0,0,1,
82,-100000,0,0,1,
83,-100000,0,0,1,
84,-100000,0,0,1,
85,-100000,0,0,1,
86,-100000.000056766,0,0,1,
87,-1319463.32438621,314.142390956558,49.9973143554429,0.999999971658135,
88,-1319463.32438621,-314.142390956558,49.9973143554429,0.999999971658135,
