real,imag
-1.315867031061353860e+06,6.769191831833365723e+04
-1.315867031061353628e+06,-6.769191831833364267e+04
-5.671168619049616609e+03,6.913841191476520908e+04
-5.671168619049616609e+03,-6.913841191476519452e+04
-6.995896682553899882e+04,0.000000000000000000e+00
-9.910384504574429593e+04,3.138699417858775291e+02
-9.910384504574428138e+04,-3.138699417858774723e+02
-9.895987809392335475e+04,3.175664523520134139e+02
-9.895987809392334020e+04,-3.175664523520134139e+02
-2.200821217091949620e+03,4.054993746851437754e+04
-2.200821217091949620e+03,-4.054993746851437027e+04
-1.721296839685327313e+03,2.812972856391222012e+04
-1.721296839685327313e+03,-2.812972856391222376e+04
-2.991706615485911607e+04,0.000000000000000000e+00
-1.000000000550570403e+05,0.000000000000000000e+00
-1.000000000024057517e+05,0.000000000000000000e+00
-1.000000000002317101e+05,0.000000000000000000e+00
-9.999999999991653021e+04,1.275817703333173016e-08
-9.999999999991653021e+04,-1.275817703333172850e-08
-1.000000000000000146e+05,0.000000000000000000e+00
-9.999999999999941792e+04,0.000000000000000000e+00
-1.005088937572336545e+04,3.071212775514329252e+00
-1.005088937572336545e+04,-3.071212775514329252e+00
-5.366113757184796214e+02,4.734859780083895203e+03
-5.366113757184795077e+02,-4.734859780083895203e+03
-5.169080353649072777e+02,4.261572219279003548e+03
-5.169080353649072777e+02,-4.261572219279003548e+03
-5.174509316605609456e+03,5.941372716547027721e+02
-5.174509316605608547e+03,-5.941372716547025448e+02
-4.569649824141321005e+03,8.721955510621135090e+02
-4.569649824141321005e+03,-8.721955510621133953e+02
-9.664959579598381367e+01,2.066704107787224530e+03
-9.664959579598381367e+01,-2.066704107787224530e+03
-1.917042164058292201e+03,0.000000000000000000e+00
-1.703016104434180306e+03,5.687109183163147463e+02
-1.703016104434180534e+03,-5.687109183163148600e+02
2.659524465744368626e+02,1.155131452970055079e+03
2.659524465744368626e+02,-1.155131452970054852e+03
-1.028103694147139095e+03,0.000000000000000000e+00
-5.464229825067270951e+01,3.141299472592712618e+02
-5.464229825067268820e+01,-3.141299472592712618e+02
-2.538090377817377075e+01,2.746433521522488377e+02
-2.538090377817377430e+01,-2.746433521522488945e+02
-2.443702067498814188e+02,2.412375763095517911e+01
-2.443702067498814188e+02,-2.412375763095517556e+01
-1.008140680521296275e+02,0.000000000000000000e+00
-6.676291948147400035e+01,0.000000000000000000e+00
-4.008809025524028158e+01,0.000000000000000000e+00
-6.172212526844349512e+00,2.198495739633273871e+01
-6.172212526844349512e+00,-2.198495739633273871e+01
-3.156024008029129035e+01,0.000000000000000000e+00
-2.113656196868332415e+01,0.000000000000000000e+00
-1.326007575148112316e+01,1.919805594449908837e+00
-1.326007575148112139e+01,-1.919805594449909059e+00
-1.996518304475395578e+00,1.737840201184440048e+00
-1.996518304475396022e+00,-1.737840201184440048e+00
-3.333333333653170527e+00,0.000000000000000000e+00
-1.977689101458461329e-01,0.000000000000000000e+00
-1.032613048225956343e+00,8.111185118474992795e-01
-1.032613048225956343e+00,-8.111185118474993905e-01
-2.415053362103491974e+00,0.000000000000000000e+00
-1.624273352837113160e+00,0.000000000000000000e+00
-8.002465180972788694e-01,0.000000000000000000e+00
-8.003647118453112164e-01,0.000000000000000000e+00
-9.946914226510910950e+00,0.000000000000000000e+00
-1.045971726379477929e+01,0.000000000000000000e+00
-1.047319051705635573e+01,1.731485823930586573e-03
-1.047319051705635573e+01,-1.731485823930586573e-03
-1.047190590908020091e+01,0.000000000000000000e+00
-1.047196251402150757e+01,0.000000000000000000e+00
