stamp_index,class,stamp_real,stamp_imag,stamp_frequency_hz,veragrid_index,veragrid_real,veragrid_imag,veragrid_frequency_hz,absolute_error,scaled_error,status
1,slow_control_or_electromechanical,-0.197765415744973,0.0,0.0,8,-0.23116867742678746,0.0,0.0,0.033403261681814456,0.033403261681814456,matched
2,slow_control_or_electromechanical,-0.800246515546164,0.0,0.0,9,-0.8001452677735726,0.0,0.0,0.00010124777259135076,0.00010124777259135076,matched
3,slow_control_or_electromechanical,-0.800364689945292,0.0,0.0,10,-0.8003585407878666,0.0,0.0,6.1491574253613734e-06,6.1491574253613734e-06,matched
4,slow_control_or_electromechanical,-1.03242132477207,0.810872580146713,0.12905437934802846,11,-0.9209031157645424,0.8218237727623461,0.13079731578555792,0.11205462757044568,0.08535632874945606,matched
5,slow_control_or_electromechanical,-1.03242132477207,-0.810872580146713,0.12905437934802846,12,-0.9209031157645424,-0.8218237727623461,0.13079731578555792,0.11205462757044568,0.08535632874945606,matched
6,fast_electrical,-1.04658356553571,314.142184000588,49.997281417377295,,,,,,,unmatched_stamp
7,fast_electrical,-1.04658356553571,-314.142184000588,49.997281417377295,,,,,,,unmatched_stamp
8,fast_electrical,-1.1885715725865,314.159649603372,50.000061154394444,27,-23.36978418431167,348.98680692215544,55.542975395517914,41.29088373762238,0.1314318636452883,matched
9,fast_electrical,-1.1885715725865,-314.159649603372,50.000061154394444,28,-23.36978418431167,-348.98680692215544,55.542975395517914,41.29088373762238,0.1314318636452883,matched
10,slow_control_or_electromechanical,-1.62428576820382,0.0,0.0,13,-1.439991151966302,0.0,0.0,0.18429461623751808,0.11346194114679471,matched
11,slow_control_or_electromechanical,-1.99515649342989,1.73752428384708,0.2765355785164682,14,-1.4902372389503116,1.1153346005361546,0.17751101487675353,0.8012886218852497,0.30286641827346683,matched
12,slow_control_or_electromechanical,-1.99515649342989,-1.73752428384708,0.2765355785164682,15,-1.4902372389503116,-1.1153346005361546,0.17751101487675353,0.8012886218852497,0.30286641827346683,matched
13,slow_control_or_electromechanical,-2.41406940177497,0.0,0.0,16,-3.3333333332333335,0.0,0.0,0.9192639314583633,0.3807943262867524,matched
14,fast_electrical,-2.83203470241153,313.1931716379,49.84624140880018,,,,,,,unmatched_stamp
15,fast_electrical,-2.83203470241153,-313.1931716379,49.84624140880018,,,,,,,unmatched_stamp
16,slow_control_or_electromechanical,-3.33333333301323,0.0,0.0,17,-3.7906800728347463,0.0,0.0,0.4573467398215163,0.13720402195963072,matched
17,slow_control_or_electromechanical,-6.24036277765272,22.0063206929386,3.502414717546642,18,-6.224199748277872,21.21692913828437,3.376779149588425,0.7895570087574392,0.03451764909563564,matched
18,slow_control_or_electromechanical,-6.24036277765272,-22.0063206929386,3.502414717546642,19,-6.224199748277872,-21.21692913828437,3.376779149588425,0.7895570087574392,0.03451764909563564,matched
19,slow_control_or_electromechanical,-9.94679861117219,0.0,0.0,21,-9.999999999899998,0.0,0.0,0.05320138872780866,0.005348594136414218,matched
20,slow_control_or_electromechanical,-10.4597186872478,0.0,0.0,23,-10.459910034620215,0.0,0.0,0.000191347372414441,1.829373983525259e-05,matched
21,slow_control_or_electromechanical,-10.4719058239707,0.0,0.0,22,-9.999999999899998,0.0,0.0,0.47190582407070103,0.045063986632737446,matched
22,slow_control_or_electromechanical,-10.4719624919697,0.0,0.0,24,-10.472053397558874,0.0,0.0,9.090558917357328e-05,8.680855116057104e-06,matched
23,slow_control_or_electromechanical,-10.4731366956841,0.0017627942552359,0.0002805574193747897,20,-7.666739807928085,0.0,0.0,2.8063974413917636,0.26796149837281813,matched
24,slow_control_or_electromechanical,-10.4731366956841,-0.0017627942552359,0.0002805574193747897,25,-10.479255328966694,0.0,0.0,0.006367504757214667,0.0006079844894645854,matched
25,slow_control_or_electromechanical,-13.2522630182751,1.92658940832533,0.30662622764346625,,,,,,,unmatched_stamp
26,slow_control_or_electromechanical,-13.2522630182751,-1.92658940832533,0.30662622764346625,,,,,,,unmatched_stamp
27,slow_control_or_electromechanical,-21.1113958887628,0.0,0.0,26,-22.24159160882388,0.0,0.0,1.1301957200610815,0.0535348645829082,matched
28,fast_electrical,-23.7386486621241,273.260029958742,43.4906845173732,,,,,,,unmatched_stamp
29,fast_electrical,-23.7386486621241,-273.260029958742,43.4906845173732,,,,,,,unmatched_stamp
30,fast_electrical,-26.3979071468244,3214.74975638768,511.6433145325656,2,20.45518006827814,3351.47809326172,533.404305206803,144.53321378121697,0.04495788230441114,matched
31,fast_electrical,-26.3979071468244,-3214.74975638768,511.6433145325656,3,20.45518006827814,-3351.47809326172,533.404305206803,144.53321378121697,0.04495788230441114,matched
32,slow_control_or_electromechanical,-31.55112371888,0.0,0.0,29,-30.488118047421672,0.0,0.0,1.0630056714583276,0.03369153127253694,matched
33,slow_control_or_electromechanical,-40.0881081326546,0.0,0.0,30,-40.21395081847558,0.0,0.0,0.12584268582098446,0.0031391525238497523,matched
34,fast_electrical,-54.6946324001207,314.141891401206,49.99723484873931,,,,,,,unmatched_stamp
35,fast_electrical,-54.6946324001207,-314.141891401206,49.99723484873931,,,,,,,unmatched_stamp
36,fast_electrical,-57.4922414809853,3843.17194103989,611.6598115685726,6,1e-10,0.0,0.0,3843.6019469017388,1.0000000000000004,matched
37,fast_electrical,-57.4922414809853,-3843.17194103989,611.6598115685726,5,1e-10,0.0,0.0,3843.6019469017388,1.0000000000000004,matched
38,slow_control_or_electromechanical,-66.7626886439326,0.0,0.0,31,-66.76592049558894,0.0,0.0,0.0032318516563378807,4.8408051293056955e-05,matched
